x,y,s
2,3,X
4,5,X
6,7,X
2,4,X
4,6,X
6,8,X
2,5,X
4,7,X
2,6,X
4,8,X
6,10,X
2,7,X
4,9,X
2,8,X
4,10,X
2,9,X
2,10,X
4,12,X
2,11,X
2,12,X
1,2,X
3,4,X
5,6,X
1,3,X
3,5,X
5,7,X
7,9,X
1,4,X
3,6,X
5,8,X
1,5,X
3,7,X
5,9,X
1,6,X
3,8,X
1,7,X
3,9,X
5,11,X
1,8,X
3,10,X
1,9,X
3,11,X
1,10,X
1,11,X
3,13,X
1,12,X
1,13,X
