x,y,d,s
2,3,6,X
6,7,6,X
4,6,7,X
2,5,4,X
4,7,6,X
1,36,7,X
2,6,5,X
4,9,6,X
4,10,7,X
2,9,6,X
1,40,7,X
2,11,6,X
1,42,7,X
2,12,7,X
2,14,7,X
2,15,7,X
2,18,7,X
2,20,7,X
2,21,7,X
3,4,4,X
5,6,6,X
3,5,6,X
5,8,6,X
1,4,7,X
3,6,7,X
1,6,5,X
3,8,6,X
1,7,6,X
3,10,6,X
1,10,5,X
3,12,7,X
1,12,5,X
3,14,7,X
1,15,7,X
1,18,7,X
1,22,7,X
1,24,7,X
1,28,7,X
1,30,7,X
