x,y,s
32,33,X
32,34,X
32,35,X
1,2,1
33,34,X
1,3,1
33,35,X
1,4,1
1,5,1
1,6,3
1,7,1
1,8,3
1,9,1
1,10,X
1,11,1
1,12,X
1,13,1
1,14,X
1,15,X
1,16,X
1,17,1
1,18,X
1,19,1
1,20,X
1,21,X
1,22,X
1,23,1
1,24,X
1,25,1
1,26,X
1,27,X
1,28,X
1,29,1
1,30,X
1,31,1
1,32,X
1,33,X
1,34,X
2,3,2
34,35,X
1,35,X
2,4,2
2,5,X
2,6,X
2,7,X
2,8,X
2,9,X
2,10,X
2,11,X
2,12,X
2,13,X
2,14,X
2,15,X
2,16,X
2,17,X
2,18,X
2,19,X
2,20,X
2,21,X
2,22,X
2,23,X
2,24,X
2,25,X
2,26,X
2,27,X
2,28,X
2,29,X
2,30,X
2,31,X
2,32,X
2,33,X
2,34,X
2,35,X
3,4,X
3,5,X
3,6,X
3,7,X
3,8,X
3,9,X
3,10,X
3,11,X
3,12,X
3,13,X
3,14,X
3,15,X
3,16,X
3,17,X
3,18,X
3,19,X
3,20,X
3,21,X
3,22,X
3,23,X
3,24,X
3,25,X
3,26,X
3,27,X
3,28,X
3,29,X
3,30,X
3,31,X
3,32,X
3,33,X
3,34,X
3,35,X
4,5,X
4,6,X
4,7,X
4,8,X
4,9,X
4,10,X
4,11,X
4,12,X
4,13,X
4,14,X
4,15,X
4,16,X
4,17,X
4,18,X
4,19,X
4,20,X
4,21,X
4,22,X
4,23,X
4,24,X
4,25,X
4,26,X
4,27,X
4,28,X
4,29,X
4,30,X
4,31,X
4,32,X
4,33,X
4,34,X
4,35,X
5,6,X
5,7,X
5,8,X
5,9,X
5,10,X
5,11,X
5,12,X
5,13,X
5,14,X
5,15,X
5,16,X
5,17,X
5,18,X
5,19,X
5,20,X
5,21,X
5,22,X
5,23,X
5,24,X
5,25,X
5,26,X
5,27,X
5,28,X
5,29,X
5,30,X
5,31,X
5,32,X
5,33,X
5,34,X
5,35,X
6,7,X
6,8,X
6,9,X
6,10,X
6,11,X
6,12,X
6,13,X
