x,y,s
1,2,1
1,3,1
1,4,1
1,5,1
1,6,3
1,7,1
1,8,3
1,9,1
1,10,X
1,11,1
1,12,X
1,13,1
1,14,X
1,15,X
1,16,X
1,17,1
1,18,X
1,19,1
1,20,X
1,21,X
1,22,X
1,23,1
1,24,X
1,25,1
1,26,X
1,27,X
1,28,X
1,29,1
1,30,X
1,31,1
1,32,X
1,33,X
1,34,X
2,3,2
1,35,X
2,4,2
1,36,X
2,5,X
1,37,1
2,6,X
1,38,X
2,7,X
1,39,X
2,8,X
1,40,X
2,9,X
1,41,1
2,10,X
1,42,X
2,11,X
1,43,1
2,12,X
1,44,X
2,13,X
1,45,X
2,14,X
1,46,X
2,15,X
1,47,1
2,16,X
1,48,X
2,17,X
1,49,1
2,18,X
1,50,X
2,19,X
1,51,X
2,20,X
1,52,X
2,21,X
1,53,1
2,22,X
1,54,X
2,23,X
1,55,X
2,24,X
1,56,X
2,25,X
1,57,X
2,26,X
1,58,X
2,27,X
1,59,1
2,28,X
1,60,X
2,29,X
1,61,1
2,30,X
1,62,X
2,31,X
1,63,X
2,32,X
1,64,X
2,33,X
1,65,X
2,34,X
1,66,X
2,35,X
3,4,X
1,67,1
2,36,X
3,5,X
1,68,X
2,37,X
3,6,X
1,69,X
2,38,X
3,7,X
1,70,X
2,39,X
3,8,X
1,71,1
2,40,X
3,9,X
1,72,X
2,41,X
3,10,X
1,73,1
2,42,X
3,11,X
1,74,X
2,43,X
3,12,X
1,75,X
2,44,X
3,13,X
1,76,X
2,45,X
3,14,X
1,77,X
2,46,X
3,15,X
1,78,X
2,47,X
3,16,X
1,79,1
2,48,X
3,17,X
1,80,X
2,49,X
3,18,X
1,81,X
2,50,X
3,19,X
1,82,X
2,51,X
3,20,X
1,83,1
2,52,X
3,21,X
1,84,X
2,53,X
3,22,X
1,85,X
2,54,X
3,23,X
1,86,X
2,55,X
3,24,X
1,87,X
2,56,X
3,25,X
1,88,X
2,57,X
3,26,X
1,89,1
2,58,X
3,27,X
1,90,X
2,59,X
3,28,X
2,60,X
3,29,X
2,61,X
3,30,X
2,62,X
3,31,X
2,63,X
3,32,X
2,64,X
3,33,X
2,65,X
3,34,X
2,66,X
3,35,X
2,67,X
3,36,X
4,5,X
2,68,X
3,37,X
4,6,X
2,69,X
3,38,X
4,7,X
2,70,X
3,39,X
4,8,X
2,71,X
3,40,X
4,9,X
2,72,X
3,41,X
4,10,X
2,73,X
3,42,X
4,11,X
2,74,X
3,43,X
4,12,X
2,75,X
3,44,X
4,13,X
2,76,X
3,45,X
4,14,X
2,77,X
3,46,X
4,15,X
2,78,X
3,47,X
4,16,X
2,79,X
3,48,X
4,17,X
2,80,X
3,49,X
4,18,X
2,81,X
3,50,X
4,19,X
2,82,X
3,51,X
4,20,X
2,83,X
3,52,X
4,21,X
2,84,X
3,53,X
4,22,X
2,85,X
3,54,X
4,23,X
2,86,X
3,55,X
4,24,X
2,87,X
3,56,X
4,25,X
2,88,X
3,57,X
4,26,X
2,89,X
3,58,X
4,27,X
2,90,X
3,59,X
4,28,X
3,60,X
4,29,X
3,61,X
4,30,X
3,62,X
4,31,X
3,63,X
4,32,X
3,64,X
4,33,X
3,65,X
4,34,X
3,66,X
4,35,X
3,67,X
4,36,X
3,68,X
4,37,X
5,6,X
3,69,X
4,38,X
5,7,X
3,70,X
4,39,X
5,8,X
3,71,X
4,40,X
5,9,X
3,72,X
4,41,X
5,10,X
3,73,X
4,42,X
5,11,X
3,74,X
4,43,X
5,12,X
3,75,X
4,44,X
5,13,X
3,76,X
4,45,X
5,14,X
3,77,X
4,46,X
5,15,X
3,78,X
4,47,X
5,16,X
3,79,X
4,48,X
5,17,X
3,80,X
4,49,X
5,18,X
3,81,X
4,50,X
5,19,X
3,82,X
4,51,X
5,20,X
3,83,X
4,52,X
5,21,X
3,84,X
4,53,X
5,22,X
3,85,X
4,54,X
5,23,X
3,86,X
4,55,X
5,24,X
3,87,X
4,56,X
5,25,X
3,88,X
4,57,X
5,26,X
3,89,X
4,58,X
5,27,X
3,90,X
4,59,X
5,28,X
4,60,X
5,29,X
4,61,X
5,30,X
4,62,X
5,31,X
4,63,X
5,32,X
4,64,X
5,33,X
4,65,X
5,34,X
4,66,X
5,35,X
4,67,X
5,36,X
4,68,X
5,37,X
4,69,X
5,38,X
6,7,X
4,70,X
5,39,X
6,8,X
4,71,X
5,40,X
6,9,X
4,72,X
5,41,X
6,10,X
4,73,X
5,42,X
6,11,X
4,74,X
5,43,X
6,12,X
4,75,X
5,44,X
6,13,X
4,76,X
5,45,X
6,14,X
4,77,X
5,46,X
6,15,X
4,78,X
5,47,X
6,16,X
4,79,X
5,48,X
6,17,X
4,80,X
5,49,X
6,18,X
4,81,X
5,50,X
6,19,X
4,82,X
5,51,X
6,20,X
4,83,X
5,52,X
6,21,X
4,84,X
5,53,X
6,22,X
4,85,X
5,54,X
6,23,X
4,86,X
5,55,X
6,24,X
4,87,X
5,56,X
6,25,X
4,88,X
5,57,X
6,26,X
4,89,X
5,58,X
6,27,X
4,90,X
5,59,X
6,28,X
5,60,X
6,29,X
5,61,X
6,30,X
5,62,X
6,31,X
5,63,X
6,32,X
5,64,X
6,33,X
5,65,X
6,34,X
5,66,X
6,35,X
5,67,X
6,36,X
5,68,X
6,37,X
5,69,X
6,38,X
5,70,X
6,39,X
7,8,X
5,71,X
6,40,X
7,9,X
5,72,X
6,41,X
7,10,X
5,73,X
6,42,X
7,11,X
5,74,X
6,43,X
7,12,X
5,75,X
6,44,X
7,13,X
5,76,X
6,45,X
7,14,X
5,77,X
6,46,X
7,15,X
5,78,X
6,47,X
7,16,X
5,79,X
6,48,X
7,17,X
5,80,X
6,49,X
7,18,X
5,81,X
6,50,X
7,19,X
5,82,X
6,51,X
7,20,X
5,83,X
6,52,X
7,21,X
5,84,X
6,53,X
7,22,X
5,85,X
6,54,X
7,23,X
5,86,X
6,55,X
7,24,X
5,87,X
6,56,X
7,25,X
5,88,X
6,57,X
7,26,X
5,89,X
6,58,X
7,27,X
5,90,X
6,59,X
7,28,X
6,60,X
7,29,X
6,61,X
7,30,X
6,62,X
7,31,X
6,63,X
7,32,X
6,64,X
7,33,X
6,65,X
7,34,X
6,66,X
7,35,X
6,67,X
7,36,X
6,68,X
7,37,X
6,69,X
7,38,X
6,70,X
7,39,X
6,71,X
7,40,X
8,9,X
6,72,X
7,41,X
8,10,X
6,73,X
7,42,X
8,11,X
6,74,X
7,43,X
8,12,X
6,75,X
7,44,X
8,13,X
6,76,X
7,45,X
8,14,X
6,77,X
7,46,X
8,15,X
6,78,X
7,47,X
8,16,X
6,79,X
7,48,X
8,17,X
6,80,X
7,49,X
8,18,X
6,81,X
7,50,X
8,19,X
6,82,X
7,51,X
8,20,X
6,83,X
7,52,X
8,21,X
6,84,X
7,53,X
8,22,X
6,85,X
7,54,X
8,23,X
6,86,X
7,55,X
8,24,X
6,87,X
7,56,X
8,25,X
6,88,X
7,57,X
8,26,X
6,89,X
7,58,X
8,27,X
6,90,X
7,59,X
8,28,X
7,60,X
8,29,X
7,61,X
8,30,X
7,62,X
8,31,X
7,63,X
8,32,X
7,64,X
8,33,X
7,65,X
8,34,X
7,66,X
8,35,X
7,67,X
8,36,X
7,68,X
8,37,X
7,69,X
8,38,X
7,70,X
8,39,X
7,71,X
8,40,X
7,72,X
8,41,X
9,10,X
7,73,X
8,42,X
9,11,X
7,74,X
8,43,X
9,12,X
7,75,X
8,44,X
9,13,X
7,76,X
8,45,X
9,14,X
7,77,X
8,46,X
9,15,X
7,78,X
8,47,X
9,16,X
7,79,X
8,48,X
9,17,X
7,80,X
8,49,X
9,18,X
7,81,X
8,50,X
9,19,X
7,82,X
8,51,X
9,20,X
7,83,X
8,52,X
9,21,X
7,84,X
8,53,X
9,22,X
7,85,X
8,54,X
9,23,X
7,86,X
8,55,X
9,24,X
7,87,X
8,56,X
9,25,X
7,88,X
8,57,X
9,26,X
7,89,X
8,58,X
9,27,X
7,90,X
8,59,X
9,28,X
8,60,X
9,29,X
8,61,X
9,30,X
8,62,X
9,31,X
8,63,X
9,32,X
8,64,X
9,33,X
8,65,X
9,34,X
8,66,X
9,35,X
8,67,X
9,36,X
8,68,X
9,37,X
8,69,X
9,38,X
8,70,X
9,39,X
8,71,X
9,40,X
8,72,X
9,41,X
8,73,X
9,42,X
10,11,X
8,74,X
9,43,X
10,12,X
8,75,X
9,44,X
10,13,X
8,76,X
9,45,X
10,14,X
8,77,X
9,46,X
10,15,X
8,78,X
9,47,X
10,16,X
8,79,X
9,48,X
10,17,X
8,80,X
9,49,X
10,18,X
8,81,X
9,50,X
10,19,X
8,82,X
9,51,X
10,20,X
8,83,X
9,52,X
10,21,X
8,84,X
9,53,X
10,22,X
8,85,X
9,54,X
10,23,X
8,86,X
9,55,X
10,24,X
8,87,X
9,56,X
10,25,X
8,88,X
9,57,X
10,26,X
8,89,X
9,58,X
10,27,X
8,90,X
9,59,X
10,28,X
9,60,X
10,29,X
9,61,X
10,30,X
9,62,X
10,31,X
9,63,X
10,32,X
9,64,X
10,33,X
9,65,X
10,34,X
9,66,X
10,35,X
9,67,X
10,36,X
9,68,X
10,37,X
9,69,X
10,38,X
9,70,X
10,39,X
9,71,X
10,40,X
9,72,X
10,41,X
9,73,X
10,42,X
9,74,X
10,43,X
11,12,X
9,75,X
10,44,X
11,13,X
9,76,X
10,45,X
11,14,X
9,77,X
10,46,X
11,15,X
9,78,X
10,47,X
11,16,X
9,79,X
10,48,X
11,17,X
9,80,X
10,49,X
11,18,X
9,81,X
10,50,X
11,19,X
9,82,X
10,51,X
11,20,X
9,83,X
10,52,X
11,21,X
9,84,X
10,53,X
11,22,X
9,85,X
10,54,X
11,23,X
9,86,X
10,55,X
11,24,X
9,87,X
10,56,X
11,25,X
9,88,X
10,57,X
11,26,X
9,89,X
10,58,X
11,27,X
9,90,X
10,59,X
11,28,X
10,60,X
11,29,X
10,61,X
11,30,X
10,62,X
11,31,X
10,63,X
11,32,X
10,64,X
11,33,X
10,65,X
11,34,X
10,66,X
11,35,X
10,67,X
11,36,X
10,68,X
11,37,X
10,69,X
11,38,X
10,70,X
11,39,X
10,71,X
11,40,X
10,72,X
11,41,X
10,73,X
11,42,X
10,74,X
11,43,X
10,75,X
11,44,X
12,13,X
10,76,X
11,45,X
12,14,X
10,77,X
11,46,X
12,15,X
10,78,X
11,47,X
12,16,X
10,79,X
11,48,X
12,17,X
10,80,X
11,49,X
12,18,X
10,81,X
11,50,X
12,19,X
10,82,X
11,51,X
12,20,X
10,83,X
11,52,X
12,21,X
10,84,X
11,53,X
12,22,X
10,85,X
11,54,X
12,23,X
10,86,X
11,55,X
12,24,X
10,87,X
11,56,X
12,25,X
10,88,X
11,57,X
12,26,X
10,89,X
11,58,X
12,27,X
10,90,X
11,59,X
12,28,X
11,60,X
12,29,X
11,61,X
12,30,X
11,62,X
12,31,X
11,63,X
12,32,X
11,64,X
12,33,X
11,65,X
12,34,X
11,66,X
12,35,X
11,67,X
12,36,X
11,68,X
12,37,X
11,69,X
12,38,X
11,70,X
12,39,X
11,71,X
12,40,X
11,72,X
12,41,X
11,73,X
12,42,X
11,74,X
12,43,X
11,75,X
12,44,X
11,76,X
12,45,X
13,14,X
11,77,X
12,46,X
13,15,X
11,78,X
12,47,X
13,16,X
11,79,X
12,48,X
13,17,X
11,80,X
12,49,X
13,18,X
11,81,X
12,50,X
13,19,X
11,82,X
12,51,X
13,20,X
11,83,X
12,52,X
13,21,X
11,84,X
12,53,X
13,22,X
11,85,X
12,54,X
13,23,X
11,86,X
12,55,X
13,24,X
11,87,X
12,56,X
13,25,X
11,88,X
12,57,X
13,26,X
11,89,X
12,58,X
13,27,X
11,90,X
12,59,X
13,28,X
12,60,X
13,29,X
12,61,X
13,30,X
12,62,X
13,31,X
12,63,X
13,32,X
12,64,X
13,33,X
12,65,X
13,34,X
12,66,X
13,35,X
12,67,X
13,36,X
12,68,X
13,37,X
12,69,X
13,38,X
12,70,X
13,39,X
12,71,X
13,40,X
12,72,X
13,41,X
12,73,X
13,42,X
12,74,X
13,43,X
12,75,X
13,44,X
12,76,X
13,45,X
12,77,X
13,46,X
14,15,X
12,78,X
13,47,X
14,16,X
12,79,X
13,48,X
14,17,X
12,80,X
13,49,X
14,18,X
12,81,X
13,50,X
14,19,X
12,82,X
13,51,X
14,20,X
12,83,X
13,52,X
14,21,X
12,84,X
13,53,X
14,22,X
12,85,X
13,54,X
14,23,X
12,86,X
13,55,X
14,24,X
12,87,X
13,56,X
14,25,X
12,88,X
13,57,X
14,26,X
12,89,X
13,58,X
14,27,X
12,90,X
13,59,X
14,28,X
13,60,X
14,29,X
13,61,X
14,30,X
13,62,X
14,31,X
13,63,X
14,32,X
13,64,X
14,33,X
13,65,X
14,34,X
13,66,X
14,35,X
13,67,X
14,36,X
13,68,X
14,37,X
13,69,X
14,38,X
13,70,X
14,39,X
13,71,X
14,40,X
13,72,X
14,41,X
13,73,X
14,42,X
13,74,X
14,43,X
13,75,X
14,44,X
13,76,X
14,45,X
13,77,X
14,46,X
13,78,X
14,47,X
15,16,X
13,79,X
14,48,X
15,17,X
13,80,X
14,49,X
15,18,X
13,81,X
14,50,X
15,19,X
13,82,X
14,51,X
15,20,X
13,83,X
14,52,X
15,21,X
13,84,X
14,53,X
15,22,X
13,85,X
14,54,X
15,23,X
13,86,X
14,55,X
15,24,X
13,87,X
14,56,X
15,25,X
13,88,X
14,57,X
15,26,X
13,89,X
14,58,X
15,27,X
13,90,X
14,59,X
15,28,X
14,60,X
15,29,X
14,61,X
15,30,X
14,62,X
15,31,X
14,63,X
15,32,X
14,64,X
15,33,X
14,65,X
15,34,X
14,66,X
15,35,X
14,67,X
15,36,X
14,68,X
15,37,X
14,69,X
15,38,X
14,70,X
15,39,X
14,71,X
15,40,X
14,72,X
15,41,X
14,73,X
15,42,X
14,74,X
15,43,X
14,75,X
15,44,X
14,76,X
15,45,X
14,77,X
15,46,X
14,78,X
15,47,X
14,79,X
15,48,X
16,17,X
14,80,X
15,49,X
16,18,X
14,81,X
15,50,X
16,19,X
14,82,X
15,51,X
16,20,X
14,83,X
15,52,X
16,21,X
14,84,X
15,53,X
16,22,X
14,85,X
15,54,X
16,23,X
14,86,X
15,55,X
16,24,X
14,87,X
15,56,X
16,25,X
14,88,X
15,57,X
16,26,X
14,89,X
15,58,X
16,27,X
14,90,X
15,59,X
16,28,X
15,60,X
16,29,X
15,61,X
16,30,X
15,62,X
16,31,X
15,63,X
16,32,X
15,64,X
16,33,X
15,65,X
16,34,X
15,66,X
16,35,X
15,67,X
16,36,X
15,68,X
16,37,X
15,69,X
16,38,X
15,70,X
16,39,X
15,71,X
16,40,X
15,72,X
16,41,X
15,73,X
16,42,X
15,74,X
16,43,X
15,75,X
16,44,X
15,76,X
16,45,X
15,77,X
16,46,X
15,78,X
16,47,X
15,79,X
16,48,X
15,80,X
16,49,X
17,18,X
15,81,X
16,50,X
17,19,X
15,82,X
16,51,X
17,20,X
15,83,X
16,52,X
17,21,X
15,84,X
16,53,X
17,22,X
15,85,X
16,54,X
17,23,X
15,86,X
16,55,X
17,24,X
15,87,X
16,56,X
17,25,X
15,88,X
16,57,X
17,26,X
15,89,X
16,58,X
17,27,X
15,90,X
16,59,X
17,28,X
16,60,X
17,29,X
16,61,X
17,30,X
16,62,X
17,31,X
16,63,X
17,32,X
16,64,X
17,33,X
16,65,X
17,34,X
16,66,X
17,35,X
16,67,X
17,36,X
16,68,X
17,37,X
16,69,X
17,38,X
16,70,X
17,39,X
16,71,X
17,40,X
16,72,X
17,41,X
16,73,X
17,42,X
16,74,X
17,43,X
16,75,X
17,44,X
16,76,X
17,45,X
16,77,X
17,46,X
16,78,X
17,47,X
16,79,X
17,48,X
16,80,X
17,49,X
16,81,X
