x,y,s
8,9,X
16,17,X
8,10,X
16,18,X
8,11,X
16,19,X
8,12,X
8,13,X
8,14,X
8,15,X
8,16,X
8,17,X
8,18,X
8,19,X
1,2,1
9,10,X
17,18,X
1,3,1
9,11,X
17,19,X
1,4,1
9,12,X
1,5,1
9,13,X
1,6,3
9,14,X
1,7,1
9,15,X
1,8,3
9,16,X
1,9,1
9,17,X
1,10,X
9,18,X
1,11,1
9,19,X
1,12,X
1,13,1
1,14,X
1,15,X
1,16,X
1,17,1
1,18,X
1,19,1
2,3,2
10,11,X
18,19,X
2,4,2
10,12,X
2,5,X
10,13,X
2,6,X
10,14,X
2,7,X
10,15,X
2,8,X
10,16,X
2,9,X
10,17,X
2,10,X
10,18,X
2,11,X
10,19,X
2,12,X
2,13,X
2,14,X
2,15,X
2,16,X
2,17,X
2,18,X
2,19,X
3,4,X
11,12,X
3,5,X
11,13,X
3,6,X
11,14,X
3,7,X
11,15,X
3,8,X
11,16,X
3,9,X
11,17,X
3,10,X
11,18,X
3,11,X
11,19,X
3,12,X
3,13,X
3,14,X
3,15,X
3,16,X
3,17,X
3,18,X
3,19,X
4,5,X
12,13,X
4,6,X
12,14,X
4,7,X
12,15,X
4,8,X
12,16,X
4,9,X
12,17,X
4,10,X
12,18,X
4,11,X
12,19,X
4,12,X
4,13,X
4,14,X
4,15,X
4,16,X
4,17,X
4,18,X
4,19,X
5,6,X
13,14,X
5,7,X
13,15,X
5,8,X
13,16,X
5,9,X
13,17,X
5,10,X
13,18,X
5,11,X
13,19,X
5,12,X
5,13,X
5,14,X
5,15,X
5,16,X
5,17,X
5,18,X
5,19,X
6,7,X
14,15,X
6,8,X
14,16,X
6,9,X
14,17,X
6,10,X
14,18,X
6,11,X
14,19,X
6,12,X
6,13,X
6,14,X
6,15,X
6,16,X
6,17,X
6,18,X
6,19,X
7,8,X
15,16,X
7,9,X
15,17,X
7,10,X
15,18,X
7,11,X
15,19,X
7,12,X
7,13,X
7,14,X
7,15,X
7,16,X
7,17,X
7,18,X
7,19,X
