x,y,s
1,2,1
1,3,1
1,4,1
1,5,1
1,6,3
1,7,1
1,8,3
1,9,1
1,10,X
1,11,1
1,12,X
1,13,1
1,14,X
1,15,X
1,16,X
1,17,1
1,18,X
1,19,1
1,20,X
1,21,X
1,22,X
1,23,1
1,24,X
1,25,1
1,26,X
1,27,X
1,28,X
1,29,1
1,30,X
1,31,1
1,32,X
1,33,X
1,34,X
2,3,2
1,35,X
2,4,2
1,36,X
2,5,X
1,37,1
2,6,X
1,38,X
2,7,X
1,39,X
2,8,X
1,40,X
2,9,X
1,41,1
2,10,X
1,42,X
2,11,X
1,43,1
2,12,X
1,44,X
2,13,X
1,45,X
2,14,X
1,46,X
2,15,X
1,47,1
2,16,X
1,48,X
2,17,X
1,49,1
2,18,X
1,50,X
2,19,X
1,51,X
2,20,X
1,52,X
2,21,X
1,53,1
2,22,X
1,54,X
2,23,X
1,55,X
2,24,X
1,56,X
2,25,X
2,26,X
2,27,X
2,28,X
2,29,X
2,30,X
2,31,X
2,32,X
2,33,X
2,34,X
2,35,X
3,4,X
2,36,X
3,5,X
2,37,X
3,6,X
2,38,X
3,7,X
2,39,X
3,8,X
2,40,X
3,9,X
2,41,X
3,10,X
2,42,X
3,11,X
2,43,X
3,12,X
2,44,X
3,13,X
2,45,X
3,14,X
2,46,X
3,15,X
2,47,X
3,16,X
2,48,X
3,17,X
2,49,X
3,18,X
2,50,X
3,19,X
2,51,X
3,20,X
2,52,X
3,21,X
2,53,X
3,22,X
2,54,X
3,23,X
2,55,X
3,24,X
2,56,X
3,25,X
3,26,X
3,27,X
3,28,X
3,29,X
3,30,X
3,31,X
3,32,X
3,33,X
3,34,X
3,35,X
3,36,X
4,5,X
3,37,X
4,6,X
3,38,X
4,7,X
3,39,X
4,8,X
3,40,X
4,9,X
3,41,X
4,10,X
3,42,X
4,11,X
3,43,X
4,12,X
3,44,X
4,13,X
3,45,X
4,14,X
3,46,X
4,15,X
3,47,X
4,16,X
3,48,X
4,17,X
3,49,X
4,18,X
3,50,X
4,19,X
3,51,X
4,20,X
3,52,X
4,21,X
3,53,X
4,22,X
3,54,X
4,23,X
3,55,X
4,24,X
3,56,X
4,25,X
4,26,X
4,27,X
4,28,X
4,29,X
4,30,X
4,31,X
4,32,X
4,33,X
4,34,X
4,35,X
4,36,X
4,37,X
5,6,X
4,38,X
5,7,X
4,39,X
5,8,X
4,40,X
5,9,X
4,41,X
5,10,X
4,42,X
5,11,X
4,43,X
5,12,X
4,44,X
5,13,X
4,45,X
5,14,X
4,46,X
5,15,X
4,47,X
5,16,X
4,48,X
5,17,X
4,49,X
5,18,X
4,50,X
5,19,X
4,51,X
5,20,X
4,52,X
5,21,X
4,53,X
5,22,X
4,54,X
5,23,X
4,55,X
5,24,X
4,56,X
5,25,X
5,26,X
5,27,X
5,28,X
5,29,X
5,30,X
5,31,X
5,32,X
5,33,X
5,34,X
5,35,X
5,36,X
5,37,X
5,38,X
6,7,X
5,39,X
6,8,X
5,40,X
6,9,X
5,41,X
6,10,X
5,42,X
6,11,X
5,43,X
6,12,X
5,44,X
6,13,X
5,45,X
6,14,X
5,46,X
6,15,X
5,47,X
6,16,X
5,48,X
6,17,X
5,49,X
6,18,X
5,50,X
6,19,X
5,51,X
6,20,X
5,52,X
6,21,X
5,53,X
6,22,X
5,54,X
6,23,X
5,55,X
6,24,X
5,56,X
6,25,X
6,26,X
6,27,X
6,28,X
6,29,X
6,30,X
6,31,X
6,32,X
6,33,X
6,34,X
6,35,X
6,36,X
6,37,X
6,38,X
6,39,X
7,8,X
6,40,X
7,9,X
6,41,X
7,10,X
6,42,X
7,11,X
6,43,X
7,12,X
6,44,X
7,13,X
6,45,X
7,14,X
6,46,X
7,15,X
6,47,X
7,16,X
6,48,X
7,17,X
6,49,X
7,18,X
6,50,X
7,19,X
6,51,X
7,20,X
6,52,X
7,21,X
6,53,X
7,22,X
6,54,X
7,23,X
6,55,X
7,24,X
6,56,X
7,25,X
7,26,X
7,27,X
7,28,X
7,29,X
7,30,X
7,31,X
7,32,X
7,33,X
7,34,X
7,35,X
7,36,X
7,37,X
7,38,X
7,39,X
7,40,X
8,9,X
7,41,X
8,10,X
7,42,X
8,11,X
7,43,X
8,12,X
7,44,X
8,13,X
7,45,X
8,14,X
7,46,X
8,15,X
7,47,X
8,16,X
7,48,X
8,17,X
7,49,X
8,18,X
7,50,X
8,19,X
7,51,X
8,20,X
7,52,X
8,21,X
7,53,X
8,22,X
7,54,X
8,23,X
7,55,X
8,24,X
7,56,X
8,25,X
8,26,X
8,27,X
8,28,X
8,29,X
8,30,X
8,31,X
8,32,X
8,33,X
8,34,X
8,35,X
8,36,X
8,37,X
8,38,X
8,39,X
8,40,X
8,41,X
9,10,X
8,42,X
9,11,X
8,43,X
9,12,X
8,44,X
9,13,X
8,45,X
9,14,X
8,46,X
9,15,X
8,47,X
9,16,X
8,48,X
9,17,X
8,49,X
9,18,X
8,50,X
9,19,X
8,51,X
9,20,X
8,52,X
9,21,X
8,53,X
9,22,X
8,54,X
9,23,X
8,55,X
9,24,X
8,56,X
9,25,X
9,26,X
9,27,X
9,28,X
9,29,X
9,30,X
9,31,X
9,32,X
9,33,X
9,34,X
9,35,X
9,36,X
9,37,X
9,38,X
9,39,X
9,40,X
9,41,X
9,42,X
10,11,X
9,43,X
10,12,X
9,44,X
10,13,X
9,45,X
10,14,X
9,46,X
10,15,X
9,47,X
10,16,X
9,48,X
10,17,X
9,49,X
10,18,X
9,50,X
10,19,X
9,51,X
10,20,X
9,52,X
10,21,X
9,53,X
10,22,X
9,54,X
10,23,X
9,55,X
10,24,X
9,56,X
10,25,X
10,26,X
10,27,X
10,28,X
10,29,X
10,30,X
10,31,X
10,32,X
10,33,X
10,34,X
10,35,X
10,36,X
10,37,X
10,38,X
10,39,X
10,40,X
10,41,X
10,42,X
10,43,X
11,12,X
10,44,X
11,13,X
10,45,X
11,14,X
10,46,X
11,15,X
10,47,X
11,16,X
10,48,X
11,17,X
10,49,X
11,18,X
10,50,X
11,19,X
10,51,X
11,20,X
10,52,X
11,21,X
10,53,X
11,22,X
10,54,X
11,23,X
10,55,X
11,24,X
10,56,X
11,25,X
11,26,X
11,27,X
11,28,X
11,29,X
11,30,X
11,31,X
11,32,X
11,33,X
11,34,X
11,35,X
11,36,X
11,37,X
11,38,X
11,39,X
11,40,X
11,41,X
11,42,X
11,43,X
11,44,X
12,13,X
11,45,X
12,14,X
11,46,X
12,15,X
11,47,X
12,16,X
11,48,X
12,17,X
11,49,X
12,18,X
11,50,X
12,19,X
11,51,X
12,20,X
11,52,X
12,21,X
11,53,X
12,22,X
11,54,X
12,23,X
11,55,X
12,24,X
11,56,X
12,25,X
12,26,X
12,27,X
12,28,X
12,29,X
12,30,X
12,31,X
12,32,X
12,33,X
12,34,X
12,35,X
12,36,X
12,37,X
12,38,X
12,39,X
12,40,X
12,41,X
12,42,X
12,43,X
12,44,X
12,45,X
13,14,X
12,46,X
13,15,X
12,47,X
13,16,X
12,48,X
13,17,X
12,49,X
13,18,X
12,50,X
13,19,X
12,51,X
13,20,X
12,52,X
13,21,X
12,53,X
13,22,X
12,54,X
13,23,X
12,55,X
13,24,X
12,56,X
13,25,X
13,26,X
13,27,X
13,28,X
13,29,X
13,30,X
13,31,X
13,32,X
13,33,X
13,34,X
13,35,X
13,36,X
13,37,X
13,38,X
13,39,X
13,40,X
13,41,X
13,42,X
13,43,X
13,44,X
13,45,X
13,46,X
14,15,X
13,47,X
14,16,X
13,48,X
14,17,X
13,49,X
14,18,X
13,50,X
14,19,X
13,51,X
14,20,X
13,52,X
14,21,X
13,53,X
14,22,X
13,54,X
14,23,X
13,55,X
14,24,X
13,56,X
14,25,X
14,26,X
14,27,X
14,28,X
14,29,X
14,30,X
14,31,X
14,32,X
14,33,X
14,34,X
14,35,X
14,36,X
14,37,X
14,38,X
14,39,X
14,40,X
14,41,X
14,42,X
14,43,X
14,44,X
14,45,X
14,46,X
14,47,X
15,16,X
14,48,X
15,17,X
14,49,X
15,18,X
14,50,X
15,19,X
14,51,X
15,20,X
14,52,X
15,21,X
14,53,X
15,22,X
14,54,X
15,23,X
14,55,X
15,24,X
14,56,X
15,25,X
15,26,X
15,27,X
15,28,X
15,29,X
15,30,X
15,31,X
15,32,X
15,33,X
15,34,X
15,35,X
15,36,X
15,37,X
15,38,X
15,39,X
15,40,X
15,41,X
15,42,X
15,43,X
15,44,X
15,45,X
15,46,X
15,47,X
15,48,X
16,17,X
15,49,X
16,18,X
15,50,X
16,19,X
15,51,X
16,20,X
15,52,X
16,21,X
15,53,X
16,22,X
15,54,X
16,23,X
15,55,X
16,24,X
15,56,X
16,25,X
16,26,X
16,27,X
16,28,X
16,29,X
16,30,X
16,31,X
16,32,X
16,33,X
16,34,X
16,35,X
16,36,X
16,37,X
16,38,X
16,39,X
16,40,X
16,41,X
16,42,X
16,43,X
16,44,X
16,45,X
16,46,X
16,47,X
16,48,X
16,49,X
17,18,X
16,50,X
17,19,X
16,51,X
17,20,X
16,52,X
17,21,X
16,53,X
17,22,X
16,54,X
17,23,X
16,55,X
17,24,X
16,56,X
17,25,X
17,26,X
17,27,X
17,28,X
17,29,X
17,30,X
17,31,X
17,32,X
17,33,X
17,34,X
17,35,X
17,36,X
17,37,X
17,38,X
17,39,X
17,40,X
17,41,X
17,42,X
17,43,X
17,44,X
17,45,X
17,46,X
17,47,X
17,48,X
17,49,X
17,50,X
18,19,X
17,51,X
18,20,X
17,52,X
18,21,X
17,53,X
18,22,X
17,54,X
18,23,X
17,55,X
18,24,X
17,56,X
18,25,X
18,26,X
18,27,X
18,28,X
18,29,X
18,30,X
18,31,X
18,32,X
18,33,X
18,34,X
18,35,X
18,36,X
18,37,X
18,38,X
18,39,X
18,40,X
18,41,X
18,42,X
18,43,X
18,44,X
18,45,X
18,46,X
18,47,X
18,48,X
18,49,X
18,50,X
18,51,X
19,20,X
18,52,X
19,21,X
18,53,X
19,22,X
18,54,X
19,23,X
18,55,X
19,24,X
18,56,X
19,25,X
19,26,X
19,27,X
19,28,X
19,29,X
19,30,X
19,31,X
19,32,X
19,33,X
19,34,X
19,35,X
19,36,X
19,37,X
19,38,X
19,39,X
19,40,X
19,41,X
19,42,X
19,43,X
19,44,X
19,45,X
19,46,X
19,47,X
19,48,X
19,49,X
19,50,X
19,51,X
19,52,X
20,21,X
19,53,X
20,22,X
19,54,X
20,23,X
19,55,X
20,24,X
19,56,X
20,25,X
20,26,X
20,27,X
20,28,X
20,29,X
20,30,X
20,31,X
20,32,X
20,33,X
20,34,X
20,35,X
20,36,X
20,37,X
20,38,X
20,39,X
20,40,X
20,41,X
20,42,X
20,43,X
20,44,X
20,45,X
20,46,X
20,47,X
20,48,X
20,49,X
20,50,X
20,51,X
20,52,X
20,53,X
21,22,X
20,54,X
21,23,X
20,55,X
21,24,X
20,56,X
21,25,X
21,26,X
21,27,X
21,28,X
21,29,X
21,30,X
21,31,X
21,32,X
21,33,X
21,34,X
21,35,X
21,36,X
21,37,X
21,38,X
21,39,X
21,40,X
21,41,X
21,42,X
21,43,X
21,44,X
21,45,X
21,46,X
21,47,X
21,48,X
21,49,X
21,50,X
21,51,X
21,52,X
21,53,X
21,54,X
22,23,X
21,55,X
22,24,X
21,56,X
22,25,X
22,26,X
22,27,X
22,28,X
22,29,X
22,30,X
22,31,X
22,32,X
22,33,X
22,34,X
22,35,X
22,36,X
22,37,X
22,38,X
22,39,X
22,40,X
22,41,X
22,42,X
22,43,X
22,44,X
22,45,X
22,46,X
22,47,X
22,48,X
22,49,X
22,50,X
22,51,X
22,52,X
22,53,X
22,54,X
22,55,X
23,24,X
22,56,X
23,25,X
23,26,X
23,27,X
23,28,X
23,29,X
23,30,X
23,31,X
23,32,X
23,33,X
23,34,X
23,35,X
23,36,X
23,37,X
23,38,X
23,39,X
23,40,X
23,41,X
23,42,X
23,43,X
23,44,X
23,45,X
23,46,X
23,47,X
23,48,X
23,49,X
23,50,X
23,51,X
23,52,X
23,53,X
23,54,X
23,55,X
23,56,X
24,25,X
24,26,X
24,27,X
24,28,X
24,29,X
24,30,X
24,31,X
24,32,X
24,33,X
24,34,X
24,35,X
24,36,X
24,37,X
24,38,X
24,39,X
24,40,X
24,41,X
24,42,X
24,43,X
24,44,X
24,45,X
24,46,X
24,47,X
24,48,X
24,49,X
24,50,X
24,51,X
24,52,X
24,53,X
24,54,X
24,55,X
24,56,X
25,26,X
25,27,X
25,28,X
25,29,X
25,30,X
25,31,X
25,32,X
25,33,X
25,34,X
25,35,X
25,36,X
25,37,X
25,38,X
25,39,X
25,40,X
25,41,X
25,42,X
25,43,X
25,44,X
25,45,X
25,46,X
25,47,X
25,48,X
25,49,X
25,50,X
25,51,X
25,52,X
25,53,X
25,54,X
25,55,X
25,56,X
26,27,X
26,28,X
26,29,X
26,30,X
26,31,X
26,32,X
26,33,X
26,34,X
26,35,X
26,36,X
26,37,X
26,38,X
26,39,X
26,40,X
26,41,X
26,42,X
26,43,X
26,44,X
26,45,X
26,46,X
26,47,X
26,48,X
26,49,X
26,50,X
26,51,X
26,52,X
26,53,X
26,54,X
26,55,X
26,56,X
27,28,X
27,29,X
27,30,X
27,31,X
27,32,X
27,33,X
27,34,X
27,35,X
27,36,X
27,37,X
27,38,X
27,39,X
27,40,X
27,41,X
27,42,X
27,43,X
27,44,X
27,45,X
27,46,X
27,47,X
27,48,X
27,49,X
27,50,X
27,51,X
27,52,X
27,53,X
27,54,X
27,55,X
27,56,X
28,29,X
28,30,X
28,31,X
28,32,X
28,33,X
28,34,X
28,35,X
28,36,X
28,37,X
28,38,X
28,39,X
28,40,X
28,41,X
28,42,X
28,43,X
28,44,X
28,45,X
28,46,X
28,47,X
28,48,X
28,49,X
28,50,X
28,51,X
28,52,X
28,53,X
28,54,X
28,55,X
28,56,X
29,30,X
29,31,X
29,32,X
29,33,X
29,34,X
29,35,X
29,36,X
29,37,X
29,38,X
29,39,X
29,40,X
29,41,X
29,42,X
29,43,X
29,44,X
29,45,X
29,46,X
29,47,X
29,48,X
29,49,X
29,50,X
29,51,X
29,52,X
29,53,X
29,54,X
29,55,X
29,56,X
30,31,X
30,32,X
30,33,X
30,34,X
30,35,X
30,36,X
30,37,X
30,38,X
30,39,X
30,40,X
30,41,X
30,42,X
30,43,X
30,44,X
30,45,X
30,46,X
30,47,X
30,48,X
30,49,X
30,50,X
30,51,X
30,52,X
30,53,X
30,54,X
30,55,X
30,56,X
31,32,X
31,33,X
31,34,X
31,35,X
31,36,X
31,37,X
31,38,X
31,39,X
31,40,X
31,41,X
31,42,X
31,43,X
31,44,X
31,45,X
31,46,X
31,47,X
31,48,X
31,49,X
31,50,X
31,51,X
31,52,X
31,53,X
31,54,X
31,55,X
31,56,X
32,33,X
32,34,X
32,35,X
32,36,X
32,37,X
32,38,X
32,39,X
32,40,X
32,41,X
32,42,X
32,43,X
32,44,X
32,45,X
32,46,X
32,47,X
32,48,X
32,49,X
32,50,X
32,51,X
32,52,X
32,53,X
32,54,X
32,55,X
32,56,X
33,34,X
33,35,X
33,36,X
33,37,X
33,38,X
33,39,X
33,40,X
33,41,X
33,42,X
33,43,X
33,44,X
33,45,X
33,46,X
33,47,X
33,48,X
33,49,X
33,50,X
33,51,X
33,52,X
33,53,X
33,54,X
33,55,X
33,56,X
34,35,X
34,36,X
34,37,X
34,38,X
34,39,X
34,40,X
34,41,X
34,42,X
34,43,X
34,44,X
34,45,X
34,46,X
34,47,X
34,48,X
34,49,X
34,50,X
34,51,X
34,52,X
34,53,X
34,54,X
34,55,X
34,56,X
35,36,X
35,37,X
35,38,X
35,39,X
35,40,X
35,41,X
35,42,X
35,43,X
35,44,X
35,45,X
35,46,X
35,47,X
35,48,X
35,49,X
35,50,X
35,51,X
35,52,X
35,53,X
